id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_velocidad_bajada,Banda ancha fija,Dial up,Total_Bandaancha_bandaangosta
20221BuenosAires,2022,1,Buenos Aires,76.08,31591,30056,313382,321756,290127,161183,3381049,2628.0,4555424,4549131,6293.0,4555424
20221CapitalFederal,2022,1,Capital Federal,111.8,5270,5575,39918,7739,61053,43289,1188072,1717.0,1417541,1415378,2163.0,1417541
20221Catamarca,2022,1,Catamarca,58.21,710,4560,4386,7009,8773,3761,35715,2207.0,62378,62377,1.0,62378
20221Chaco,2022,1,Chaco,44.06,4610,1099,16888,21235,20898,13012,62946,758.0,144119,144114,5.0,144119
20221Chubut,2022,1,Chubut,88.05,1130,1677,61369,31856,3308,13871,14055,15607.0,171628,170701,927.0,171628
20221Córdoba,2022,1,Córdoba,85.76,1000,12782,165922,126009,73967,34892,577027,13104.0,1003803,1003729,74.0,1003803
20221Corrientes,2022,1,Corrientes,47.64,670,4029,24563,25665,27077,10452,43631,7094.0,142578,142574,4.0,142578
20221EntreRíos,2022,1,Entre Ríos,63.7,1070,5745,50075,4962,42294,21578,81757,1675.0,267926,267904,22.0,267926
20221Formosa,2022,1,Formosa,34.96,970,4480,24113,6945,6613,7160,15028,5880.0,54548,54548,0.0,54548
20221Jujuy,2022,1,Jujuy,58.06,580,1761,22141,16321,37923,5760,35287,2442.0,116509,116509,0.0,116509
20221LaPampa,2022,1,La Pampa,91.66,3010,2223,62812,9869,12044,525,14400,2833.0,109732,109560,172.0,109732
20221LaRioja,2022,1,La Rioja,78.77,180,7780,3576,4692,23624,5645,45970,0.0,84303,84299,4.0,84303
20221Mendoza,2022,1,Mendoza,48.74,1140,3355,51230,26407,74178,21566,95048,3287.0,275185,274399,786.0,275185
20221Misiones,2022,1,Misiones,49.04,510,3873,35655,22261,26855,15854,58610,8349.0,171508,171508,0.0,171508
20221Neuquén,2022,1,Neuquén,74.17,1370,1123,39856,15623,11163,2654,71238,7885.0,149679,149208,471.0,149679
20221RíoNegro,2022,1,Río Negro,67.04,1160,1383,35565,18859,26926,14144,37729,22652.0,157374,156821,553.0,157374
20221Salta,2022,1,Salta,56.11,1140,1725,35576,68246,6313,2214,76838,6489.0,197515,197510,5.0,197515
20221SanJuan,2022,1,San Juan,43.55,260,2269,32356,11914,25144,2088,11916,2465.0,88178,87888,290.0,88178
20221SanLuis,2022,1,San Luis,80.72,610,6430,8287,3837,9802,68612,13,28589.0,119844,119659,185.0,119844
20221SantaCruz,2022,1,Santa Cruz,43.34,510,6898,12710,11502,12277,2628,2551,4850.0,49102,48898,204.0,49102
